Phi[deg],Theta[deg],RealizedGainY
-50,6,33.9615
-48,6,34.1902
-46,6,34.4218
-44,6,34.6552
-42,6,34.8891
-40,6,35.1225
-38,6,35.3543
-36,6,35.5832
-34,6,35.808
-32,6,36.0277
-30,6,36.241
-28,6,36.4467
-26,6,36.6438
-24,6,36.8312
-22,6,37.0078
-20,6,37.1726
-18,6,37.3246
-16,6,37.463
-14,6,37.5871
-12,6,37.6959
-10,6,37.789
-8,6,37.8658
-6,6,37.9258
-4,6,37.9686
-2,6,37.9941
0,6,38.002
2,6,37.9924
4,6,37.9654
6,6,37.921
8,6,37.8596
10,6,37.7817
12,6,37.6876
14,6,37.578
16,6,37.4535
18,6,37.315
20,6,37.1633
22,6,36.9992
24,6,36.8237
26,6,36.638
28,6,36.443
30,6,36.2398
32,6,36.0297
34,6,35.8138
36,6,35.5932
38,6,35.3691
40,6,35.1428
42,6,34.9154
44,6,34.6881
46,6,34.462
48,6,34.2383
50,6,34.018
52,6,33.8022
54,6,33.5918
56,6,33.388
58,6,33.1915
60,6,33.0034
62,6,32.8243
64,6,32.6551
66,6,32.4965
68,6,32.3492
70,6,32.2138
72,6,32.0908
74,6,31.9808
76,6,31.8842
78,6,31.8013
80,6,31.7327
82,6,31.6784
84,6,31.6387
86,6,31.6139
88,6,31.604
90,6,31.6091
92,6,31.6292
94,6,31.6642
96,6,31.714
98,6,31.7784
100,6,31.8573
102,6,31.9504
104,6,32.0572
106,6,32.1774
108,6,32.3106
110,6,32.4562
112,6,32.6136
114,6,32.7822
116,6,32.9614
118,6,33.1503
120,6,33.3482
122,6,33.5542
124,6,33.7674
126,6,33.9867
128,6,34.2113
130,6,34.4401
132,6,34.6719
134,6,34.9056
136,6,35.1402
138,6,35.3742
140,6,35.6067
142,6,35.8364
144,6,36.0619
146,6,36.2822
148,6,36.4961
150,6,36.7023
152,6,36.8996
154,6,37.087
156,6,37.2634
158,6,37.4277
160,6,37.5791
162,6,37.7165
164,6,37.8392
166,6,37.9464
168,6,38.0376
170,6,38.112
172,6,38.1694
174,6,38.2093
176,6,38.2315
178,6,38.2358
180,6,38.2223
-180,8,36.1685
-178,8,36.1209
-176,8,36.0439
-174,8,35.938
-172,8,35.804
-170,8,35.6429
-168,8,35.4557
-166,8,35.2437
-164,8,35.0084
-162,8,34.7514
-160,8,34.4743
-158,8,34.1789
-156,8,33.867
-154,8,33.5406
-152,8,33.2015
-150,8,32.8519
-148,8,32.4936
-146,8,32.1287
-144,8,31.759
-142,8,31.3866
-140,8,31.0134
-138,8,30.6411
-136,8,30.2715
-134,8,29.9064
-132,8,29.5474
-130,8,29.1959
-128,8,28.8536
-126,8,28.5216
-124,8,28.2015
-122,8,27.8942
-120,8,27.601
-118,8,27.3228
-116,8,27.0606
-114,8,26.8153
-112,8,26.5876
-110,8,26.3782
-108,8,26.1877
-106,8,26.0166
-104,8,25.8656
-102,8,25.7348
-100,8,25.6248
-98,8,25.5358
-96,8,25.468
-94,8,25.4216
-92,8,25.3967
-90,8,25.3934
-88,8,25.4117
-86,8,25.4515
-84,8,25.5127
-82,8,25.5952
-80,8,25.6988
-78,8,25.8231
-76,8,25.9679
-74,8,26.1327
-72,8,26.3172
-70,8,26.5206
-68,8,26.7425
-66,8,26.9821
-64,8,27.2387
-62,8,27.5114
-60,8,27.7992
-58,8,28.1012
-56,8,28.4163
-54,8,28.7431
-52,8,29.0804
-50,8,29.4268
-48,8,29.7809
-46,8,30.141
-44,8,30.5055
-42,8,30.8727
-40,8,31.2407
-38,8,31.6077
-36,8,31.9718
-34,8,32.331
-32,8,32.6833
-30,8,33.0267
-28,8,33.3593
-26,8,33.6789
-24,8,33.9837
-22,8,34.2718
-20,8,34.5413
-18,8,34.7905
-16,8,35.0177
-14,8,35.2215
-12,8,35.4003
-10,8,35.553
-8,8,35.6786
-6,8,35.7761
-4,8,35.845
-2,8,35.8846
0,8,35.8947
2,8,35.8753
4,8,35.8264
6,8,35.7485
8,8,35.6422
10,8,35.508
12,8,35.3471
14,8,35.1606
16,8,34.9497
18,8,34.7159
20,8,34.4607
22,8,34.1859
24,8,33.8933
26,8,33.5847
28,8,33.2621
30,8,32.9275
32,8,32.5829
34,8,32.2302
36,8,31.8717
38,8,31.5091
40,8,31.1446
42,8,30.78
44,8,30.4172
46,8,30.058
48,8,29.7041
50,8,29.3571
52,8,29.0187
54,8,28.6902
56,8,28.3731
58,8,28.0687
60,8,27.7781
62,8,27.5025
64,8,27.2428
66,8,27
68,8,26.775
70,8,26.5685
72,8,26.3812
74,8,26.2137
76,8,26.0665
78,8,25.94
80,8,25.8348
82,8,25.7511
84,8,25.6892
86,8,25.6492
88,8,25.6314
90,8,25.6358
92,8,25.6624
94,8,25.7112
96,8,25.7822
98,8,25.875
100,8,25.9896
102,8,26.1256
104,8,26.2827
106,8,26.4604
108,8,26.6582
110,8,26.8755
112,8,27.1116
114,8,27.3658
116,8,27.6371
118,8,27.9246
120,8,28.2274
122,8,28.5441
124,8,28.8736
126,8,29.2145
128,8,29.5653
130,8,29.9245
132,8,30.2904
134,8,30.6614
136,8,31.0355
138,8,31.4109
140,8,31.7857
142,8,32.1577
144,8,32.5251
146,8,32.8856
148,8,33.2372
150,8,33.5778
152,8,33.9053
154,8,34.2177
156,8,34.5131
158,8,34.7896
160,8,35.0452
162,8,35.2785
164,8,35.4878
166,8,35.6717
168,8,35.829
170,8,35.9587
172,8,36.0598
174,8,36.1317
176,8,36.1739
178,8,36.1862
180,8,36.1685
-180,10,33.6911
-178,10,33.6278
-176,10,33.5218
-174,10,33.3742
-172,10,33.1861
-170,10,32.9593
-168,10,32.6955
-166,10,32.3969
-164,10,32.0659
-162,10,31.705
-160,10,31.3168
-158,10,30.9043
-156,10,30.4703
-154,10,30.0178
-152,10,29.5498
-150,10,29.0694
-148,10,28.5794
-146,10,28.0827
-144,10,27.5823
-142,10,27.0808
-140,10,26.5808
-138,10,26.0848
-136,10,25.5953
-134,10,25.1142
-132,10,24.6438
-130,10,24.1859
-128,10,23.7423
-126,10,23.3145
-124,10,22.904
-122,10,22.512
-120,10,22.1398
-118,10,21.7884
-116,10,21.4587
-114,10,21.1514
-112,10,20.8674
-110,10,20.6071
-108,10,20.3711
-106,10,20.1598
-104,10,19.9737
-102,10,19.8129
-100,10,19.6777
-98,10,19.5684
-96,10,19.485
-94,10,19.4278
-92,10,19.3967
-90,10,19.3918
-88,10,19.4132
-86,10,19.4608
-84,10,19.5345
-82,10,19.6343
-80,10,19.76
-78,10,19.9114
-76,10,20.0884
-74,10,20.2906
-72,10,20.5177
-70,10,20.7693
-68,10,21.045
-66,10,21.344
-64,10,21.6658
-62,10,22.0095
-60,10,22.3744
-58,10,22.7592
-56,10,23.163
-54,10,23.5843
-52,10,24.0217
-50,10,24.4736
-48,10,24.9383
-46,10,25.4139
-44,10,25.8981
-42,10,26.3889
-40,10,26.8838
-38,10,27.3803
-36,10,27.8756
-34,10,28.3671
-32,10,28.8519
-30,10,29.3269
-28,10,29.7892
-26,10,30.2357
-24,10,30.6635
-22,10,31.0695
-20,10,31.4507
-18,10,31.8045
-16,10,32.128
-14,10,32.4188
-12,10,32.6746
-10,10,32.8933
-8,10,33.0731
-6,10,33.2126
-4,10,33.3105
-2,10,33.3661
0,10,33.3788
2,10,33.3485
4,10,33.2755
6,10,33.1604
8,10,33.0041
10,10,32.8078
12,10,32.5732
14,10,32.3022
16,10,31.9969
18,10,31.6598
20,10,31.2933
22,10,30.9004
24,10,30.4837
26,10,30.0465
28,10,29.5916
30,10,29.1222
32,10,28.6413
34,10,28.152
36,10,27.6572
38,10,27.1598
40,10,26.6626
42,10,26.1682
44,10,25.6791
46,10,25.1978
48,10,24.7263
50,10,24.2667
52,10,23.821
54,10,23.3909
56,10,22.9778
58,10,22.5833
60,10,22.2085
62,10,21.8547
64,10,21.5228
66,10,21.2137
68,10,20.9281
70,10,20.6667
72,10,20.4302
74,10,20.2189
76,10,20.0333
78,10,19.8738
80,10,19.7407
82,10,19.6342
84,10,19.5545
86,10,19.5018
88,10,19.4761
90,10,19.4777
92,10,19.5065
94,10,19.5625
96,10,19.6458
98,10,19.7563
100,10,19.8938
102,10,20.0583
104,10,20.2494
106,10,20.467
108,10,20.7107
110,10,20.98
112,10,21.2743
114,10,21.5931
116,10,21.9356
118,10,22.3009
120,10,22.688
122,10,23.0956
124,10,23.5225
126,10,23.9672
128,10,24.428
130,10,24.9031
132,10,25.3903
134,10,25.8876
136,10,26.3926
138,10,26.9028
140,10,27.4154
142,10,27.9276
144,10,28.4366
146,10,28.9392
148,10,29.4323
150,10,29.9129
152,10,30.3776
154,10,30.8233
156,10,31.2469
158,10,31.6454
160,10,32.0158
162,10,32.3555
164,10,32.6617
166,10,32.9323
168,10,33.1651
170,10,33.3584
172,10,33.5106
174,10,33.6205
176,10,33.6875
178,10,33.7111
180,10,33.6911
-180,12,30.906
-178,12,30.8298
-176,12,30.6975
-174,12,30.5107
-172,12,30.2712
-170,12,29.9814
-168,12,29.6442
-166,12,29.2628
-164,12,28.8407
-162,12,28.3815
-160,12,27.8893
-158,12,27.3682
-156,12,26.8223
-154,12,26.2559
-152,12,25.673
-150,12,25.0778
-148,12,24.4743
-146,12,23.8663
-144,12,23.2575
-142,12,22.6512
-140,12,22.0509
-138,12,21.4593
-136,12,20.8793
-134,12,20.3133
-132,12,19.7636
-130,12,19.2322
-128,12,18.7209
-126,12,18.2311
-124,12,17.7643
-122,12,17.3215
-120,12,16.9036
-118,12,16.5115
-116,12,16.1457
-114,12,15.8068
-112,12,15.4951
-110,12,15.2108
-108,12,14.9543
-106,12,14.7255
-104,12,14.5245
-102,12,14.3514
-100,12,14.2062
-98,12,14.0889
-96,12,13.9993
-94,12,13.9376
-92,12,13.9036
-90,12,13.8974
-88,12,13.919
-86,12,13.9683
-84,12,14.0455
-82,12,14.1504
-80,12,14.2832
-78,12,14.444
-76,12,14.6326
-74,12,14.8492
-72,12,15.0936
-70,12,15.3658
-68,12,15.6657
-66,12,15.9929
-64,12,16.3473
-62,12,16.7283
-60,12,17.1354
-58,12,17.5678
-56,12,18.0247
-54,12,18.505
-52,12,19.0073
-50,12,19.5302
-48,12,20.0719
-46,12,20.6305
-44,12,21.2036
-42,12,21.7887
-40,12,22.3832
-38,12,22.9839
-36,12,23.5876
-34,12,24.1908
-32,12,24.7898
-30,12,25.3806
-28,12,25.9593
-26,12,26.5217
-24,12,27.0635
-22,12,27.5806
-20,12,28.0686
-18,12,28.5235
-16,12,28.9413
-14,12,29.3183
-12,12,29.6511
-10,12,29.9363
-8,12,30.1715
-6,12,30.3541
-4,12,30.4824
-2,12,30.555
0,12,30.5712
2,12,30.5309
4,12,30.4342
6,12,30.2821
8,12,30.0761
10,12,29.8182
